pais;provincia;departamento;año;modelo;actividad;margen_bruto_($/ha);resultado_neto_($/ha);ingreso_neto_($/ha);gastos_directos_($/ha);costos_indirectos_($/ha);eficiencia_stock_(%);producción_(kg/ha);destete_(%);carga_(kg/ha);;;
Argentina;Chaco;Mayor Luis J Fontana;2017;chaco-formosa este;cria;509;130;683;173;379;23;28;60;122;;;
Argentina;Chaco;O'Higgins;2017;chaco-formosa este;cria;509;130;683;173;379;23;28;60;122;;;
Argentina;Chaco;Quitilipi;2017;chaco-formosa este;cria;509;130;683;173;379;23;28;60;122;;;
Argentina;Chaco;San Lorenzo;2017;chaco-formosa este;cria;509;130;683;173;379;23;28;60;122;;;
Argentina;Formosa;Formosa;2017;chaco-formosa este;cria;509;130;683;173;379;23;28;60;122;;;
Argentina;Formosa;Laishi;2017;chaco-formosa este;cria;509;130;683;173;379;23;28;60;122;;;
Argentina;Formosa;Pilagas;2017;chaco-formosa este;cria;509;130;683;173;379;23;28;60;122;;;
Argentina;Formosa;Pilcomayo;2017;chaco-formosa este;cria;509;130;683;173;379;23;28;60;122;;;
Argentina;Formosa;Pirane;2017;chaco-formosa este;cria;509;130;683;173;379;23;28;60;122;;;
Argentina;Chaco;Almirante Brown;2017;chaco-formosa oeste;cria;328;52;465;136;276;22;19;60;85;;;
Argentina;Chaco;General Guemes;2017;chaco-formosa oeste;cria;328;52;465;136;276;22;19;60;85;;;
Argentina;Formosa;Bermejo;2017;chaco-formosa oeste;cria;328;52;465;136;276;22;19;60;85;;;
Argentina;Formosa;Patiño;2017;chaco-formosa oeste;cria;328;52;465;136;276;22;19;60;85;;;
Argentina;Formosa;Ramon Lista;2017;chaco-formosa oeste;cria;328;52;465;136;276;22;19;60;85;;;
Argentina;Cordoba;Calamuchita;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Capital;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Colon;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Cruz Del Eje;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Ischilin;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Minas;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Pocho;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Punilla;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Rio Seco;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;San Alberto;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;San Javier;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Santa Maria;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Sobremonte;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Totoral;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Cordoba;Tulumba;2017;cordoba norte;cria;581;164;737;156;418;29;30;65;103;;;
Argentina;Corrientes;Bella Vista;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;Capital;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;Concepcion;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;Empedrado;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;General Paz;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;Goya;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;Ituzaingo;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;Monte Caseros;2017;corrientes centro sur;cria;1234;997;1562;328;237;29;63;67;215;;;
Argentina;Corrientes;Paso De Los Libres;2017;corrientes nor-este;ciclo completo;417;240;672;255;177;20;29;50;144;;;
Argentina;Corrientes;Saladas;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;San Luis Del Palmar;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;San Miguel;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Corrientes;San Roque;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Santa Fe;General Obligado;2017;corrientes noroeste;cria;766;385;992;225;381;21;43;60;205;;;
Argentina;Buenos Aires;25 De Mayo;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Adolfo Gonzales Chaves;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Ayacucho;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Azul;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Brandsen;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Cañuelas;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Castelli;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Chascomus;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Dolores;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;General Alvear;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;General Belgrano;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;General Guido;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;General Lamadrid;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;General Las Heras;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;General Lavalle;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;General Juan Madariaga;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;General Paz;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;La Plata;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Laprida;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Las Flores;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Lobos;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Magdalena;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Maipu;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Mar Chiquita;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Marcos Paz;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Monte;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Navarro;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Olavarria;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Pila;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Punta Indio;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Rauch;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Roque Perez;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Saladillo;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;San Vicente;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Tapalque;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Tordillo;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Entre Rios;Concordia;2017;entre rios norte;cria;1260;676;1606;347;584;30;70;67;231;;;
Argentina;Entre Rios;Federacion;2017;entre rios norte;cria;1260;676;1606;347;584;30;70;67;231;;;
Argentina;Entre Rios;Federal;2017;entre rios norte;cria;1260;676;1606;347;584;30;70;67;231;;;
Argentina;Entre Rios;Feliciano;2017;entre rios norte;cria;1260;676;1606;347;584;30;70;67;231;;;
Argentina;Entre Rios;La Paz;2017;entre rios norte;cria;1260;676;1606;347;584;30;70;67;231;;;
Argentina;Entre Rios;Colon;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Diamante;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Gualeguay;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Gualeguaychu;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Nogoya;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Parana;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;San Salvador;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Tala;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Uruguay;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Victoria;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Villaguay;2017;entre rios sw;invernada;2536;667;5980;3444;1869;59;284;-99999;482;;;
Argentina;Entre Rios;Islas Del Ibicuy;2017;islas de entre rios 1;invernada;635;337;1139;503;298;39;51;-99999;132;;;
Argentina;La Pampa;Caleu Caleu;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;La Pampa;Chalileo;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;La Pampa;Curaco;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;La Pampa;Hucal;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;La Pampa;Lihuel Calel;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;La Pampa;Limay Mahuida;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;La Pampa;Utracan;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;San Luis;Ayacucho;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;San Luis;Belgrano;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;San Luis;Junin;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;San Luis;Libertador General San Martin;2017;la pampa-san luis arida;cria;315;184;402;87;130;29;17;65;59;;;
Argentina;La Pampa;Guatrache;2017;la pampa-san luis semiarida;cria;565;355;845;280;210;31;34;70;109;;;
Argentina;La Pampa;Loventue;2017;la pampa-san luis semiarida;cria;565;355;845;280;210;31;34;70;109;;;
Argentina;La Pampa;Toay;2017;la pampa-san luis semiarida;cria;565;355;845;280;210;31;34;70;109;;;
Argentina;San Luis;Chacabuco;2017;la pampa-san luis semiarida;cria;565;355;845;280;210;31;34;70;109;;;
Argentina;San Luis;Coronel Pringles;2017;la pampa-san luis semiarida;cria;565;355;845;280;210;31;34;70;109;;;
Argentina;San Luis;La Capital;2017;la pampa-san luis semiarida;cria;565;355;845;280;210;31;34;70;109;;;
Argentina;Buenos Aires;Adolfo Alsina;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;Buenos Aires;Carlos Tejedor;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;Buenos Aires;General Villegas;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;Buenos Aires;Guamini;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;Buenos Aires;Pellegrini;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;Buenos Aires;Rivadavia;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;Buenos Aires;Salliquelo;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;Buenos Aires;Trenque Lauquen;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;Buenos Aires;Tres Lomas;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;Cordoba;General Roca;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;Cordoba;Rio Cuarto;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;La Pampa;Atreuco;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;La Pampa;Capital;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;La Pampa;Catrilo;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;La Pampa;Chapaleufu;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;La Pampa;Conhelo;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;La Pampa;Maraco;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;La Pampa;Quemu Quemu;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;La Pampa;Rancul;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;La Pampa;Realico;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;La Pampa;Trenel;2017;pampeana subhumeda;invernada;2745;1003;5686;2941;1741;53;260;-99999;492;;;
Argentina;San Luis;General Pedernera;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;San Luis;Gobernador Dupuy;2017;pampeana subhumeda;ciclo completo;1113;763;1684;571;350;35;65;75;186;;;
Argentina;Salta;Cachi;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;Cafayate;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;Capital;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;Cerrillos;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;General Guemes;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;General Jose De San Martin;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;Guachipas;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;La Caldera;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;La Candelaria;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;La Poma;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;La Viña;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Salta;Rosario De La Frontera;2017;salta;cria;269;27;410;141;242;24;17;55;71;;;
Argentina;Santa Fe;Belgrano;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santa Fe;Castellanos;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santa Fe;Iriondo;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santa Fe;La Capital;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santa Fe;Las Colonias;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santa Fe;Rosario;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santa Fe;San Cristobal;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santa Fe;San Jeronimo;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santa Fe;San Lorenzo;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santa Fe;San Martin;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santiago Del Estero;Rivadavia;2017;santa fe centro;invernada;1103;138;1708;605;965;40;75;-99999;189;;;
Argentina;Santiago Del Estero;Aguirre;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Atamisqui;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Avellaneda;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Belgrano;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Capital;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Choya;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Figueroa;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Guayasan;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Jimenez;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Juan F. Ibarra;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;La Banda;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Loreto;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Mitre;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Ojo De Agua;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Pellegrini;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Quebrachos;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Robles;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Salavina;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;San Martin;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Sarmiento;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Santiago Del Estero;Silipica;2017;santiago del estero;cria;481;90;675;194;390;27;27;60;101;;;
Argentina;Chubut;Languineo;2017;patagonia - precordillera;cria;95;-12;205;110;107;38;7;78;19;;;
Argentina;Chubut;Tehuelches;2017;patagonia - precordillera;cria;95;-12;205;110;107;38;7;78;19;;;
Argentina;Chubut;Rio Senguer;2017;patagonia - precordillera;cria;95;-12;205;110;107;38;7;78;19;;;
Argentina;Corrientes;San Martin;2017;corrientes nor-este;ciclo completo;417;240;672;255;177;20;29;50;144;;;
Argentina;Corrientes;General Alvear;2017;corrientes nor-este;ciclo completo;417;240;672;255;177;20;29;50;144;;;
Argentina;Corrientes;Curuzu Cuatia;2017;corrientes centro sur;cria;1234;997;1562;328;237;29;63;67;215;;;
Argentina;Corrientes;Mercedes;2017;corrientes centro sur;cria;1234;997;1562;328;237;29;63;67;215;;;
Argentina;Corrientes;Sauce;2017;corrientes centro sur;cria;1234;997;1562;328;237;29;63;67;215;;;
Argentina;Buenos Aires;Lezama;2017;cuenca del salado;cria;2029;1126;2367;338;903;31;92;72;293;;;
Argentina;Buenos Aires;Bolivar;2016;buenos aires centro-sudoeste;ciclo completo;1457;203;2776;1319;1254;35;117;69;336;;;
Argentina;Buenos Aires;Daireaux;2016;buenos aires centro-sudoeste;ciclo completo;1457;203;2776;1319;1254;35;117;69;336;;;
Argentina;Buenos Aires;Coronel Suarez;2016;buenos aires centro-sudoeste;ciclo completo;1457;203;2776;1319;1254;35;117;69;336;;;
Argentina;Cordoba;General San Martin;2016;centro cordoba sur;ciclo completo;1861;563;3647;1786;1298;38;157;65;416;;;
Argentina;Cordoba;Juarez Celman;2016;centro cordoba sur;ciclo completo;1861;563;3647;1786;1298;38;157;65;416;;;
Argentina;Cordoba;Marcos Juarez;2016;centro cordoba sur;ciclo completo;1861;563;3647;1786;1298;38;157;65;416;;;
Argentina;Cordoba;Presidente Roque Saenz Peña;2016;centro cordoba sur;ciclo completo;1861;563;3647;1786;1298;38;157;65;416;;;
Argentina;Cordoba;Rio Primero;2016;centro cordoba sur;ciclo completo;1861;563;3647;1786;1298;38;157;65;416;;;
Argentina;Cordoba;Rio Segundo;2016;centro cordoba sur;ciclo completo;1861;563;3647;1786;1298;38;157;65;416;;;
Argentina;Cordoba;San Justo;2016;centro cordoba sur;ciclo completo;1861;563;3647;1786;1298;38;157;65;416;;;
Argentina;Cordoba;Tercero Arriba;2016;centro cordoba sur;ciclo completo;1861;563;3647;1786;1298;38;157;65;416;;;
Argentina;Cordoba;Union;2016;centro cordoba sur;ciclo completo;1861;563;3647;1786;1298;38;157;65;416;;;
Argentina;Chaco;9 De Julio;2016;chaco humedo;ciclo completo;635;224;1028;392;412;24;46;60;195;;;
Argentina;Chaco;Chacabuco;2016;chaco humedo;ciclo completo;635;224;1028;392;412;24;46;60;195;;;
Argentina;Chaco;General Belgrano;2016;chaco humedo;ciclo completo;635;224;1028;392;412;24;46;60;195;;;
Argentina;Chaco;Presidencia De La Plaza;2016;chaco humedo;ciclo completo;635;224;1028;392;412;24;46;60;195;;;
Argentina;Chaco;San Fernando;2016;chaco humedo;ciclo completo;635;224;1028;392;412;24;46;60;195;;;
Argentina;Chaco;Sargento Cabral;2016;chaco humedo;ciclo completo;635;224;1028;392;412;24;46;60;195;;;
Argentina;Chaco;Tapenaga;2016;chaco humedo;ciclo completo;635;224;1028;392;412;24;46;60;195;;;
Argentina;Chaco;1 De Mayo;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;12 De Octubre;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;2 De Abril;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;25 De Mayo;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Bermejo;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Comandante Fernandez;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Fray Justo Santa Maria De Oro;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;General Donovan;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Independencia;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Libertad;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Libertador General San Martin;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Maipu;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Mayor Luis J Fontana;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;O'Higgins;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Quitilipi;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;San Lorenzo;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Formosa;Formosa;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Formosa;Laishi;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Formosa;Pilagas;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Formosa;Pilcomayo;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Formosa;Pirane;2016;chaco-formosa este;cria;522;157;687;165;365;23;28;60;122;;;
Argentina;Chaco;Almirante Brown;2016;chaco-formosa oeste;cria;337;70;468;131;267;22;19;60;85;;;
Argentina;Chaco;General Guemes;2016;chaco-formosa oeste;cria;337;70;468;131;267;22;19;60;85;;;
Argentina;Formosa;Bermejo;2016;chaco-formosa oeste;cria;337;70;468;131;267;22;19;60;85;;;
Argentina;Formosa;Patiño;2016;chaco-formosa oeste;cria;337;70;468;131;267;22;19;60;85;;;
Argentina;Formosa;Ramon Lista;2016;chaco-formosa oeste;cria;337;70;468;131;267;22;19;60;85;;;
Argentina;Cordoba;Calamuchita;2016;cordoba norte;cria;588;203;731;144;385;29;30;65;103;;;
Argentina;Cordoba;Capital;2016;cordoba norte;cria;588;203;731;144;385;29;30;65;103;;;
Argentina;Cordoba;Colon;2016;cordoba norte;cria;588;203;731;144;385;29;30;65;103;;;
